id,title,url,is_paid,price,duration,level,subject,source
167,"Tax Accounting: Difficult Topic, Made Easy to Understand",https://www.udemy.com/taxaccounting/,TRUE,200,2,All Levels,Business Finance,Udemy
168,Analysis of Company Financial Statements,https://www.udemy.com/analysis-of-company-financial-statements/,TRUE,20,1.5,All Levels,Business Finance,Udemy
169,Forex Trading Like Banks – Step by Step with Live Examples,https://www.udemy.com/forex-trading-like-banks-step-by-step-with-live-examples/,TRUE,195,4.5,All Levels,Business Finance,Udemy
170,Fundamentals of Investing!,https://www.udemy.com/investment-basics-lets-invest-series/,TRUE,20,2,Beginner,Business Finance,Udemy
171,Bank Financial Management A Comprehensive Study,https://www.udemy.com/bank-financial-management-a-comprehensive-study/,TRUE,50,1.5,All Levels,Business Finance,Udemy
172,Learn to Trade Forex and Stocks: From Beginner to Advanced,https://www.udemy.com/tradeforex/,TRUE,200,2,All Levels,Business Finance,Udemy
173,"Master 'Technical Analysis and Chart reading skills Bundle""",https://www.udemy.com/master-technical-analysis-and-chart-reading-skills-bundle/,TRUE,120,3,All Levels,Business Finance,Udemy
174,Naked Put Options Trade Covered Call & Poor Man Covered Call,https://www.udemy.com/naked-put-options-trade-covered-call-poor-man-covered-call/,TRUE,200,1.5,All Levels,Business Finance,Udemy
175,The Ultimate Guide to Dividend & Dividend Growth Investing,https://www.udemy.com/investing-learn-how-to-build-a-dividend-portfolio-step-by-step/,TRUE,200,5.5,All Levels,Business Finance,Udemy
176,Charting for Beginners 101: Technical Analysis Demystified,https://www.udemy.com/charting-for-beginners-101/,TRUE,45,1.5,All Levels,Business Finance,Udemy
